Name,Team,Pos,g,R,HR,RBI,SB,OBP,PA,H,BB
Matt Carpenter,STL,3B,5.,2.68,0.338,1.639,0.14,0.368918133,22.344,5.075,2.922
Erick Aybar,LAA,SS,6.,2.241,0.23,2.414,0.416,0.3212359,24.471,6.464,1.25
Nick Hundley,COL,C,6.,2.285,0.596,2.38,0.231,0.29119763,23.627,5.402,1.289
Francisco Cervelli,PIT,C/1B,6.,1.894,0.312,2.148,0.131,0.347691162,24.17,5.889,2.055
Yan Gomes,CLE,C,5.,2.237,0.819,2.438,0,0.301313127,21.248,5.225,0.902
Carlos Santana,CLE,C/1B/3B,5.,1.925,0.745,1.806,0.263,0.361970502,20.137,3.8,3.39
Russell Martin,TOR,C,5.,1.926,0.678,1.895,0.185,0.346510252,20.289,4.296,2.307
Brayan Pena,CIN,C/1B,7.,2.104,0.27,2.229,0.019,0.302786403,24.477,5.933,1.355
Welington Castillo,ARI,C,6.,2.079,0.586,2.159,0,0.32166175,20.68,4.73,1.549
Kevin Plawecki,NYM,C,6.,1.782,0.352,1.885,0.024,0.314583244,23.43,5.296,1.35
Carlos Ruiz,PHI,C,6.,1.598,0.312,1.788,0.086,0.335760554,22.385,4.943,2.014
Mike Zunino,SEA,C,6.,2.072,0.954,1.497,0.05,0.2568355,22.311,3.952,1.22
Tyler Flowers,CHW,C,6.,1.799,0.757,1.533,0.026,0.280078895,21.801,4.495,1.197
Yadier Molina,STL,C,5.,1.793,0.276,1.981,0.061,0.322088956,20.01,5.143,1.142
A.J. Pierzynski,ATL,C,6.,1.655,0.499,1.781,0.037,0.290843002,20.086,4.886,0.614
Matt Wieters,BAL,C,5.,1.711,0.651,1.806,0.056,0.297592871,17.284,3.878,1.214
Rene Rivera,TB,C,6.,1.8,0.526,1.414,0,0.266189608,22.497,4.644,1.164
Robinson Chirinos,TEX,C,6.,1.663,0.676,1.393,0.019,0.300068587,17.497,3.691,1.262
Ryan Hanigan,BOS,C,6.,1.506,0.199,1.14,0.026,0.335280024,20.035,4.066,2.39
Carlos Perez,LAA,C,6.,1.484,0.32,1.294,0.021,0.279838521,17.091,4.032,0.495
Kurt Suzuki,MIN,C,5.,1.21,0.184,1.074,0.016,0.300215451,16.244,3.643,1.006
J.T. Realmuto,MIA,C,6.,1.24,0.253,1.35,0.119,0.281228762,14.713,3.392,0.599
Brian McCann,NYY,C/1B,5.,1.174,0.572,1.214,0.013,0.307623479,11.179,2.541,0.752
Jason Castro,HOU,C,5.,1.12,0.399,0.965,0.025,0.305274708,12.759,2.718,1.063
Chris Iannetta,LAA,C,6.,1.093,0.283,0.943,0.015,0.352839783,11.603,2.203,1.775
Jimmy Rollins,LAD,SS,6,2.134,0.416,1.974,0.86,0.305209397,24.474,5.391,2.055
